,,,,,Branch SW attivi HX,,,
,,Lonati Donna v7,Lonati Donna v8,Lonati Doppio v7,Lonati Doppio v9,Lonati Goal v7,Lonati Goal v9,Lonati Sangiacomo v8
Ticket,Nautilus,,,,,,,
,,,,,,,,
138,x,57839 (7_129_188),57849 (8_218_148),57834 (7_060_181),57824 (9_009_038),57809 (7_062_055),57805 (9_010_064),57810 (8_117_128)
130,x,,,,,,59092 (9_010_077),
183,x,,,,,,58597 58608 58782 (9_010_073),59429 (8_117_137)
191,x,,,,,,58802 (9_010_074),59589 (8_117_137)
192,x,,,,,,58861 59408 (9_010_077),59602 (8_117_137)
177,x,,,,,,58948 (9_010_076),59609 (8_117_137)
197,x,,,,,,59393 (9_010_077),
207,x,,,,,,59519 (9_010_077),
